brawler_id,brawler_name,brawler_name_jp,ガイコツ川,岩壁の決戦,天国と地獄,激動の洞窟,酸性湖,空飛ぶ絨毯,安全センター,リリーラグーン,真実,クロケット,即席足場,マグマの心臓,スターフルーツ超新星
16000000,SHELLY,,,,,,,,,,,,,,
16000001,COLT,,,,,,,,,,,,,,
16000002,BULL,,,,,,,,,,,,,,
16000003,BROCK,,,,,,,,,,,,,,
16000004,RICO,,,,,,,,,,,,,,
16000005,SPIKE,,,,,,,,,,,,,,
16000006,BARLEY,,,,,,,,,,,,,,
16000007,JESSIE,,,,,,,,,,,,,,
16000008,NITA,,,,,,,,,,,,,,
16000009,DYNAMIKE,,,,,,,,,,,,,,
16000010,EL-PRIMO,,,,,,,,,,,,,,
16000011,MORTIS,,,,,,,,,,,,,,
16000012,CROW,,,,,,,,,,,,,,
16000013,POCO,,,,,,,,,,,,,,
16000014,BO,,,,,,,,,,,,,,
16000015,PIPER,,,,,,,,,,,,,,
16000016,PAM,,,,,,,,,,,,,,
16000017,TARA,,,,,,,,,,,,,,
16000018,DARRYL,,,,,,,,,,,,,,
16000019,PENNY,,,,,,,,,,,,,,
16000020,FRANK,,,,,,,,,,,,,,
16000021,GENE,,,,,,,,,,,,,,
16000022,TICK,,,,,,,,,,,,,,
16000023,LEON,,,,,,,,,,,,,,
16000024,ROSA,,,,,,,,,,,,,,
16000025,CARL,,,,,,,,,,,,,,
16000026,BIBI,,,,,,,,,,,,,,
16000027,8-BIT,,,,,,,,,,,,,,
16000028,SANDY,,,,,,,,,,,,,,
16000029,BEA,,,,,,,,,,,,,,
16000030,EMZ,,,,,,,,,,,,,,
16000031,MR-P,,,,,,,,,,,,,,
16000032,MAX,,,,,,,,,,,,,,
16000034,JACKY,,,,,,,,,,,,,,
16000035,GALE,,,,,,,,,,,,,,
16000036,NANI,,,,,,,,,,,,,,
16000037,SPROUT,,,,,,,,,,,,,,
16000038,SURGE,,,,,,,,,,,,,,
16000039,COLETTE,,,,,,,,,,,,,,
16000040,AMBER,,,,,,,,,,,,,,
16000041,LOU,,,,,,,,,,,,,,
16000042,BYRON,,,,,,,,,,,,,,
16000043,EDGAR,,,,,,,,,,,,,,
16000044,RUFFS,,,,,,,,,,,,,,
16000045,STU,,,,,,,,,,,,,,
16000046,BELLE,,,,,,,,,,,,,,
16000047,SQUEAK,,,,,,,,,,,,,,
16000048,GROM,,,,,,,,,,,,,,
16000049,BUZZ,,,,,,,,,,,,,,
16000050,GRIFF,,,,,,,,,,,,,,
16000051,ASH,,,,,,,,,,,,,,
16000052,MEG,,,,,,,,,,,,,,
16000053,LOLA,,,,,,,,,,,,,,
16000054,FANG,,,,,,,,,,,,,,
16000056,EVE,,,,,,,,,,,,,,
16000057,JANET,,,,,,,,,,,,,,
16000058,BONNIE,,,,,,,,,,,,,,
16000059,OTIS,,,,,,,,,,,,,,
16000060,SAM,,,,,,,,,,,,,,
16000061,GUS,,,,,,,,,,,,,,
16000062,BUSTER,,,,,,,,,,,,,,
16000063,CHESTER,,,,,,,,,,,,,,
16000064,GRAY,,,,,,,,,,,,,,
16000065,MANDY,,,,,,,,,,,,,,
16000066,R-T,,,,,,,,,,,,,,
16000067,WILLOW,,,,,,,,,,,,,,
16000068,MAISIE,,,,,,,,,,,,,,
16000069,HANK,,,,,,,,,,,,,,
16000070,CORDELIUS,,,,,,,,,,,,,,
16000071,DOUG,,,,,,,,,,,,,,
16000072,PEARL,,,,,,,,,,,,,,
16000073,CHUCK,,,,,,,,,,,,,,
16000074,CHARLIE,,,,,,,,,,,,,,
16000075,MICO,,,,,,,,,,,,,,
16000076,KIT,,,,,,,,,,,,,,
16000077,LARRY-LAWRIE,,,,,,,,,,,,,,
16000078,MELODIE,,,,,,,,,,,,,,
16000079,ANGELO,,,,,,,,,,,,,,
16000080,DRACO,,,,,,,,,,,,,,
16000081,LILY,,,,,,,,,,,,,,
16000082,BERRY,,,,,,,,,,,,,,
16000083,CLANCY,,,,,,,,,,,,,,
16000084,MOE,,,,,,,,,,,,,,
16000085,KENJI,,,,,,,,,,,,,,
16000086,SHADE,,,,,,,,,,,,,,
16000087,JUJU,,,,,,,,,,,,,,
16000089,MEEPLE,,,,,,,,,,,,,,
16000090,OLLIE,,,,,,,,,,,,,,
16000091,LUMI,,,,,,,,,,,,,,
16000092,FINX,,,,,,,,,,,,,,
16000093,JAE-YONG,,,,,,,,,,,,,,
16000094,KAZE,,,,,,,,,,,,,,
16000095,ALLI,,,,,,,,,,,,,,
16000096,TRUNK,,,,,,,,,,,,,,
16000097,MINA,,,,,,,,,,,,,,
16000098,ZIGGY,,,,,,,,,,,,,,
16000099,PIERCE,,,,,,,,,,,,,,
16000100,GIGI,,,,,,,,,,,,,,
16000101,GLOWBERT,,,,,,,,,,,,,,
