id,name,name_jp,hash,rarity,class,image_url
16000000,SHELLY,,shelly,Common,DAMAGE-DEALER,https://cdn.brawlify.com/brawlers/borders/16000000.png
16000001,COLT,,colt,Rare,DAMAGE-DEALER,https://cdn.brawlify.com/brawlers/borders/16000001.png
16000002,BULL,,bull,Rare,TANK,https://cdn.brawlify.com/brawlers/borders/16000002.png
16000003,BROCK,,brock,Rare,MARKSMAN,https://cdn.brawlify.com/brawlers/borders/16000003.png
16000004,RICO,,rico,Super Rare,DAMAGE-DEALER,https://cdn.brawlify.com/brawlers/borders/16000004.png
16000005,SPIKE,,spike,Legendary,DAMAGE-DEALER,https://cdn.brawlify.com/brawlers/borders/16000005.png
16000006,BARLEY,,barley,Rare,ARTILLERY,https://cdn.brawlify.com/brawlers/borders/16000006.png
16000007,JESSIE,,jessie,Super Rare,CONTROLLER,https://cdn.brawlify.com/brawlers/borders/16000007.png
16000008,NITA,,nita,Rare,DAMAGE-DEALER,https://cdn.brawlify.com/brawlers/borders/16000008.png
16000009,DYNAMIKE,,dynamike,Super Rare,ARTILLERY,https://cdn.brawlify.com/brawlers/borders/16000009.png
16000010,EL-PRIMO,,el-primo,Rare,TANK,https://cdn.brawlify.com/brawlers/borders/16000010.png
16000011,MORTIS,,mortis,Mythic,ASSASSIN,https://cdn.brawlify.com/brawlers/borders/16000011.png
16000012,CROW,,crow,Legendary,ASSASSIN,https://cdn.brawlify.com/brawlers/borders/16000012.png
16000013,POCO,,poco,Rare,SUPPORT,https://cdn.brawlify.com/brawlers/borders/16000013.png
16000014,BO,,bo,Epic,CONTROLLER,https://cdn.brawlify.com/brawlers/borders/16000014.png
16000015,PIPER,,piper,Epic,MARKSMAN,https://cdn.brawlify.com/brawlers/borders/16000015.png
16000016,PAM,,pam,Epic,SUPPORT,https://cdn.brawlify.com/brawlers/borders/16000016.png
16000017,TARA,,tara,Mythic,DAMAGE-DEALER,https://cdn.brawlify.com/brawlers/borders/16000017.png
16000018,DARRYL,,darryl,Super Rare,TANK,https://cdn.brawlify.com/brawlers/borders/16000018.png
16000019,PENNY,,penny,Super Rare,ARTILLERY,https://cdn.brawlify.com/brawlers/borders/16000019.png
16000020,FRANK,,frank,Epic,TANK,https://cdn.brawlify.com/brawlers/borders/16000020.png
16000021,GENE,,gene,Mythic,CONTROLLER,https://cdn.brawlify.com/brawlers/borders/16000021.png
16000022,TICK,,tick,Super Rare,ARTILLERY,https://cdn.brawlify.com/brawlers/borders/16000022.png
16000023,LEON,,leon,Legendary,ASSASSIN,https://cdn.brawlify.com/brawlers/borders/16000023.png
16000024,ROSA,,rosa,Rare,TANK,https://cdn.brawlify.com/brawlers/borders/16000024.png
16000025,CARL,,carl,Super Rare,DAMAGE-DEALER,https://cdn.brawlify.com/brawlers/borders/16000025.png
16000026,BIBI,,bibi,Epic,TANK,https://cdn.brawlify.com/brawlers/borders/16000026.png
16000027,8-BIT,,8-bit,Super Rare,DAMAGE-DEALER,https://cdn.brawlify.com/brawlers/borders/16000027.png
16000028,SANDY,,sandy,Legendary,CONTROLLER,https://cdn.brawlify.com/brawlers/borders/16000028.png
16000029,BEA,,bea,Epic,MARKSMAN,https://cdn.brawlify.com/brawlers/borders/16000029.png
16000030,EMZ,,emz,Epic,CONTROLLER,https://cdn.brawlify.com/brawlers/borders/16000030.png
16000031,MR-P,,mr-p,Mythic,CONTROLLER,https://cdn.brawlify.com/brawlers/borders/16000031.png
16000032,MAX,,max,Mythic,SUPPORT,https://cdn.brawlify.com/brawlers/borders/16000032.png
16000034,JACKY,,jacky,Super Rare,TANK,https://cdn.brawlify.com/brawlers/borders/16000034.png
16000035,GALE,,gale,Epic,CONTROLLER,https://cdn.brawlify.com/brawlers/borders/16000035.png
16000036,NANI,,nani,Epic,MARKSMAN,https://cdn.brawlify.com/brawlers/borders/16000036.png
16000037,SPROUT,,sprout,Mythic,ARTILLERY,https://cdn.brawlify.com/brawlers/borders/16000037.png
16000038,SURGE,,surge,Legendary,DAMAGE-DEALER,https://cdn.brawlify.com/brawlers/borders/16000038.png
16000039,COLETTE,,colette,Epic,DAMAGE-DEALER,https://cdn.brawlify.com/brawlers/borders/16000039.png
16000040,AMBER,,amber,Legendary,CONTROLLER,https://cdn.brawlify.com/brawlers/borders/16000040.png
16000041,LOU,,lou,Mythic,CONTROLLER,https://cdn.brawlify.com/brawlers/borders/16000041.png
16000042,BYRON,,byron,Mythic,SUPPORT,https://cdn.brawlify.com/brawlers/borders/16000042.png
16000043,EDGAR,,edgar,Epic,ASSASSIN,https://cdn.brawlify.com/brawlers/borders/16000043.png
16000044,RUFFS,,ruffs,Mythic,SUPPORT,https://cdn.brawlify.com/brawlers/borders/16000044.png
16000045,STU,,stu,Epic,ASSASSIN,https://cdn.brawlify.com/brawlers/borders/16000045.png
16000046,BELLE,,belle,Epic,MARKSMAN,https://cdn.brawlify.com/brawlers/borders/16000046.png
16000047,SQUEAK,,squeak,Mythic,CONTROLLER,https://cdn.brawlify.com/brawlers/borders/16000047.png
16000048,GROM,,grom,Epic,ARTILLERY,https://cdn.brawlify.com/brawlers/borders/16000048.png
16000049,BUZZ,,buzz,Mythic,ASSASSIN,https://cdn.brawlify.com/brawlers/borders/16000049.png
16000050,GRIFF,,griff,Epic,CONTROLLER,https://cdn.brawlify.com/brawlers/borders/16000050.png
16000051,ASH,,ash,Epic,TANK,https://cdn.brawlify.com/brawlers/borders/16000051.png
16000052,MEG,,meg,Legendary,TANK,https://cdn.brawlify.com/brawlers/borders/16000052.png
16000053,LOLA,,lola,Epic,DAMAGE-DEALER,https://cdn.brawlify.com/brawlers/borders/16000053.png
16000054,FANG,,fang,Mythic,ASSASSIN,https://cdn.brawlify.com/brawlers/borders/16000054.png
16000056,EVE,,eve,Mythic,DAMAGE-DEALER,https://cdn.brawlify.com/brawlers/borders/16000056.png
16000057,JANET,,janet,Mythic,MARKSMAN,https://cdn.brawlify.com/brawlers/borders/16000057.png
16000058,BONNIE,,bonnie,Epic,MARKSMAN,https://cdn.brawlify.com/brawlers/borders/16000058.png
16000059,OTIS,,otis,Mythic,CONTROLLER,https://cdn.brawlify.com/brawlers/borders/16000059.png
16000060,SAM,,sam,Epic,ASSASSIN,https://cdn.brawlify.com/brawlers/borders/16000060.png
16000061,GUS,,gus,Super Rare,SUPPORT,https://cdn.brawlify.com/brawlers/borders/16000061.png
16000062,BUSTER,,buster,Mythic,TANK,https://cdn.brawlify.com/brawlers/borders/16000062.png
16000063,CHESTER,,chester,Legendary,DAMAGE-DEALER,https://cdn.brawlify.com/brawlers/borders/16000063.png
16000064,GRAY,,gray,Mythic,SUPPORT,https://cdn.brawlify.com/brawlers/borders/16000064.png
16000065,MANDY,,mandy,Epic,MARKSMAN,https://cdn.brawlify.com/brawlers/borders/16000065.png
16000066,R-T,,r-t,Mythic,DAMAGE-DEALER,https://cdn.brawlify.com/brawlers/borders/16000066.png
16000067,WILLOW,,willow,Mythic,CONTROLLER,https://cdn.brawlify.com/brawlers/borders/16000067.png
