map_id,map_name,map_name_jp,tank_line,support_line,flank_line,opening_routes,recommended_comps,key_advice
15000751,Skull-Creek,ガイコツ川,,,,,,
15000949,Rockwall-Brawl,岩壁の決戦,,,,,,
15000952,Feast-or-Famine,天国と地獄,,,,,,
15000955,Cavern-Churn,激動の洞窟,,,,,,
15000958,Acid-Lakes,酸性湖,,,,,,
15000961,Flying-Fantasies,空飛ぶ絨毯,,,,,,
15000970,Safety-Center,安全センター,,,,,,
15000992,Lilypond-Grove,リリーラグーン,,,,,,
15001109,Truth,真実,,,,,,
15001142,Kroket,クロケット,,,,,,
15001145,Makeshift-Scaffolding,即席足場,,,,,,
,Molten-to-the-Core,マグマの心臓,,,,,,
,Starfruit-Supernova,スターフルーツ超新星,,,,,,
