id,name,name_jp,hash,image_url,environment
15000751,Skull-Creek,ガイコツ川,skull-creek,https://cdn.brawlify.com/maps/regular/15000751.png,DefaultShowdown
15000949,Rockwall-Brawl,岩壁の決戦,rockwall-brawl,https://cdn.brawlify.com/maps/regular/15000949.png,DefaultShowdown
15000952,Feast-or-Famine,天国と地獄,feast-or-famine,https://cdn.brawlify.com/maps/regular/15000952.png,MortuaryShowdown
15000955,Cavern-Churn,激動の洞窟,cavern-churn,https://cdn.brawlify.com/maps/regular/15000955.png,MortuaryShowdown
15000958,Acid-Lakes,酸性湖,acid-lakes,https://cdn.brawlify.com/maps/regular/15000958.png,DefaultShowdown
15000961,Flying-Fantasies,空飛ぶ絨毯,flying-fantasies,https://cdn.brawlify.com/maps/regular/15000961.png,DefaultShowdown
15000970,Safety-Center,安全センター,safety-center,https://cdn.brawlify.com/maps/regular/15000970.png,MortuaryShowdown
15000992,Lilypond-Grove,リリーラグーン,lilypond-grove,https://cdn.brawlify.com/maps/regular/15000992.png,DefaultShowdown
15001109,Truth,真実,truth,https://cdn.brawlify.com/maps/regular/15001109.png,MortuaryShowdown
15001142,Kroket,クロケット,kroket,https://cdn.brawlify.com/maps/regular/15001142.png,MortuaryShowdown
15001145,Makeshift-Scaffolding,即席足場,makeshift-scaffolding,https://cdn.brawlify.com/maps/regular/15001145.png,DefaultShowdown
,Molten-to-the-Core,マグマの心臓,molten-to-the-core,,
,Starfruit-Supernova,スターフルーツ超新星,starfruit-supernova,,
