id,name,name_jp,hash,image_url,environment,disabled,in_rotation_pool
15000751,Skull-Creek,ガイコツ川,skull-creek,https://cdn.brawlify.com/maps/regular/15000751.png,DefaultShowdown,False,True
15000794,Burger-Bay,,burger-bay,https://cdn.brawlify.com/maps/regular/15000794.png,DefaultShowdown,True,False
15000795,Thousand-Jellies,,thousand-jellies,https://cdn.brawlify.com/maps/regular/15000795.png,Default,True,False
15000796,Ring-o-Brawlin,,ring-o-brawlin,https://cdn.brawlify.com/maps/regular/15000796.png,DefaultShowdown,False,False
15000797,Bullseye,,bullseye,https://cdn.brawlify.com/maps/regular/15000797.png,DefaultShowdown,True,False
15000798,Starr-Fish,,starr-fish,https://cdn.brawlify.com/maps/regular/15000798.png,Default,True,False
15000799,Splashing-Rivers,,splashing-rivers,https://cdn.brawlify.com/maps/regular/15000799.png,DefaultShowdown,True,False
15000800,Squad-Out,,squad-out,https://cdn.brawlify.com/maps/regular/15000800.png,DefaultShowdown,True,False
15000848,Feast-or-Famine,天国と地獄,feast-or-famine,https://cdn.brawlify.com/maps/regular/15000848.png,Default,True,True
15000849,Dark-Passage,,dark-passage,https://cdn.brawlify.com/maps/regular/15000849.png,Default,True,False
15000937,Rockwall-Brawl,岩壁の決戦,rockwall-brawl,https://cdn.brawlify.com/maps/regular/15000937.png,DefaultShowdown,True,True
15000938,Cavern-Churn,激動の洞窟,cavern-churn,https://cdn.brawlify.com/maps/regular/15000938.png,DefaultShowdown,True,True
15000939,Acid-Lakes,酸性湖,acid-lakes,https://cdn.brawlify.com/maps/regular/15000939.png,DefaultShowdown,True,True
15000940,Flying-Fantasies,空飛ぶ絨毯,flying-fantasies,https://cdn.brawlify.com/maps/regular/15000940.png,DefaultShowdown,True,True
15000941,Island-Invasion,,island-invasion,https://cdn.brawlify.com/maps/regular/15000941.png,IslandShowdown,True,False
15000942,Double-Trouble,,double-trouble,https://cdn.brawlify.com/maps/regular/15000942.png,DefaultShowdown,True,False
15000943,Safety-Center,安全センター,safety-center,https://cdn.brawlify.com/maps/regular/15000943.png,ArcadeShowdown,True,True
15000946,Skull-Creek,ガイコツ川,skull-creek,https://cdn.brawlify.com/maps/regular/15000946.png,ArcadeShowdown,False,True
15000949,Rockwall-Brawl,岩壁の決戦,rockwall-brawl,https://cdn.brawlify.com/maps/regular/15000949.png,DefaultShowdown,False,True
15000952,Feast-or-Famine,天国と地獄,feast-or-famine,https://cdn.brawlify.com/maps/regular/15000952.png,MortuaryShowdown,False,True
15000955,Cavern-Churn,激動の洞窟,cavern-churn,https://cdn.brawlify.com/maps/regular/15000955.png,MortuaryShowdown,False,True
15000958,Acid-Lakes,酸性湖,acid-lakes,https://cdn.brawlify.com/maps/regular/15000958.png,DefaultShowdown,False,True
15000961,Flying-Fantasies,空飛ぶ絨毯,flying-fantasies,https://cdn.brawlify.com/maps/regular/15000961.png,DefaultShowdown,False,True
15000964,Island-Invasion,,island-invasion,https://cdn.brawlify.com/maps/regular/15000964.png,DefaultShowdown,True,False
15000967,Double-Trouble,,double-trouble,https://cdn.brawlify.com/maps/regular/15000967.png,DefaultShowdown,False,False
15000970,Safety-Center,安全センター,safety-center,https://cdn.brawlify.com/maps/regular/15000970.png,MortuaryShowdown,False,True
15000983,Mystical-Thirty-Three,,mystical-thirty-three,https://cdn.brawlify.com/maps/regular/15000983.png,MortuaryShowdown,True,False
15000986,Waveform,,waveform,https://cdn.brawlify.com/maps/regular/15000986.png,ArcadeShowdown,False,False
15000989,Core-of-Orbit,,core-of-orbit,https://cdn.brawlify.com/maps/regular/15000989.png,DefaultShowdown,False,False
15000992,Lilypond-Grove,リリーラグーン,lilypond-grove,https://cdn.brawlify.com/maps/regular/15000992.png,DefaultShowdown,False,True
15001014,Crystal-Eye-Castle,,crystal-eye-castle,https://cdn.brawlify.com/maps/regular/15001014.png,MortuaryShowdown,False,False
15001017,Seeker,,seeker,https://cdn.brawlify.com/maps/regular/15001017.png,MortuaryShowdown,False,False
15001109,Truth,真実,truth,https://cdn.brawlify.com/maps/regular/15001109.png,MortuaryShowdown,False,True
15001110,Twisting-Vines,,twisting-vines,https://cdn.brawlify.com/maps/regular/15001110.png,DefaultShowdown,False,False
15001142,Kroket,クロケット,kroket,https://cdn.brawlify.com/maps/regular/15001142.png,MortuaryShowdown,False,True
15001143,Lotus,,lotus,https://cdn.brawlify.com/maps/regular/15001143.png,MortuaryShowdown,False,False
15001144,Gated-Community,,gated-community,https://cdn.brawlify.com/maps/regular/15001144.png,MortuaryShowdown,False,False
15001145,Makeshift-Scaffolding,即席足場,makeshift-scaffolding,https://cdn.brawlify.com/maps/regular/15001145.png,DefaultShowdown,False,True
15001182,North-Park-Station,,north-park-station,https://cdn.brawlify.com/maps/regular/15001182.png,DefaultShowdown,False,False
