map,brawler,picks,wins,win_rate,avg_rank
Cavern Churn,BUZZ,1,0,0.0,4.0
Cavern Churn,BO,1,0,0.0,4.0
Cavern Churn,GROM,1,0,0.0,4.0
Core of Orbit,GRIFF,2,2,1.0,1.0
Core of Orbit,DYNAMIKE,1,1,1.0,1.0
Core of Orbit,BEA,1,1,1.0,1.0
Core of Orbit,CORDELIUS,1,1,1.0,1.0
Core of Orbit,PIERCE,1,1,1.0,1.0
Core of Orbit,EDGAR,1,0,0.0,3.0
Core of Orbit,PIPER,1,0,0.0,3.0
Double Trouble,MORTIS,32,10,0.312,2.97
Double Trouble,8-BIT,6,6,1.0,1.5
Double Trouble,MELODIE,3,0,0.0,3.67
Double Trouble,DRACO,3,0,0.0,3.67
Double Trouble,COLETTE,2,1,0.5,2.5
Double Trouble,MINA,2,0,0.0,3.5
Double Trouble,FANG,1,0,0.0,4.0
Double Trouble,DOUG,1,0,0.0,3.0
Double Trouble,GRIFF,1,0,0.0,4.0
Double Trouble,MAISIE,1,0,0.0,4.0
Double Trouble,SHELLY,1,1,1.0,2.0
Double Trouble,EL PRIMO,1,0,0.0,4.0
Feast or Famine,DYNAMIKE,6,6,1.0,1.0
Feast or Famine,FANG,6,6,1.0,1.0
Feast or Famine,DAMIAN,6,6,1.0,1.0
Flying Fantasies,ALLI,6,6,1.0,1.0
Flying Fantasies,BROCK,6,6,1.0,1.0
Flying Fantasies,CROW,6,6,1.0,1.0
Flying Fantasies,EDGAR,5,4,0.8,1.4
Flying Fantasies,SPIKE,5,4,0.8,1.4
Flying Fantasies,BELLE,5,4,0.8,1.4
Kroket,COLT,20,18,0.9,1.4
Kroket,RUFFS,19,16,0.842,1.32
Kroket,8-BIT,19,16,0.842,1.32
Kroket,GENE,19,16,0.842,1.32
Kroket,BYRON,17,17,1.0,1.24
Kroket,EDGAR,16,16,1.0,1.31
Kroket,ZIGGY,8,8,1.0,1.38
Kroket,LEON,7,6,0.857,1.43
Kroket,JANET,6,6,1.0,1.33
Kroket,SHELLY,5,3,0.6,1.8
Kroket,FANG,4,3,0.75,1.5
Kroket,CROW,3,3,1.0,1.33
Kroket,BROCK,3,2,0.667,2.0
Kroket,KIT,2,2,1.0,2.0
Kroket,COLETTE,2,2,1.0,1.0
Kroket,CORDELIUS,1,1,1.0,2.0
Kroket,BEA,1,0,0.0,3.0
Kroket,NAJIA,1,0,0.0,3.0
Lilypond Grove,PIERCE,2,2,1.0,2.0
Lilypond Grove,CROW,2,2,1.0,2.0
